FDATE,FCURR,TCURR,RATE
2022-03-04,EUR,INR,83.98899841308594
2022-03-07,EUR,INR,83.43000030517578
2022-03-08,EUR,INR,83.5530014038086
2022-03-09,EUR,INR,83.73699951171875
2022-03-10,EUR,INR,84.50599670410156
2022-03-11,EUR,INR,83.95999908447266
2022-03-14,EUR,INR,83.40299987792969
2022-03-15,EUR,INR,83.6520004272461
2022-03-16,EUR,INR,83.57599639892578
2022-03-17,EUR,INR,83.90799713134766
2022-03-18,EUR,INR,84.2030029296875
2022-03-21,EUR,INR,83.97799682617188
2022-03-22,EUR,INR,83.96299743652344
2022-03-23,EUR,INR,83.91500091552734
2022-03-24,EUR,INR,84.1719970703125
2022-03-25,EUR,INR,83.92400360107422
2022-03-28,EUR,INR,83.69999694824219
2022-03-29,EUR,INR,83.572998046875
2022-03-30,EUR,INR,83.84200286865234
2022-03-31,EUR,INR,84.5459976196289
2022-04-01,EUR,INR,83.98699951171875
2022-04-04,EUR,INR,83.88999938964844
2022-04-05,EUR,INR,82.75700378417969
2022-04-06,EUR,INR,82.22200012207031
2022-04-07,EUR,INR,82.68499755859375
2022-04-08,EUR,INR,82.39199829101562
2022-04-11,EUR,INR,82.54299926757812
2022-04-12,EUR,INR,82.41400146484375
2022-04-13,EUR,INR,82.36000061035156
2022-04-14,EUR,INR,82.86599731445312
2022-04-15,EUR,INR,82.52100372314453
2022-04-18,EUR,INR,82.5199966430664
2022-04-19,EUR,INR,82.01499938964844
2022-04-20,EUR,INR,82.43499755859375
2022-04-21,EUR,INR,82.6719970703125
2022-04-22,EUR,INR,82.54900360107422
2022-04-25,EUR,INR,82.5
2022-04-26,EUR,INR,82.14700317382812
2022-04-27,EUR,INR,81.53099822998047
2022-04-28,EUR,INR,80.80599975585938
2022-04-29,EUR,INR,80.43900299072266
2022-05-02,EUR,INR,80.61900329589844
2022-05-03,EUR,INR,80.2979965209961
2022-05-04,EUR,INR,80.40899658203125
2022-05-05,EUR,INR,80.94000244140625
2022-05-06,EUR,INR,80.60800170898438
2022-05-09,EUR,INR,81.10900115966797
2022-05-10,EUR,INR,81.66400146484375
2022-05-11,EUR,INR,81.23799896240234
2022-05-12,EUR,INR,81.30899810791016
2022-05-13,EUR,INR,80.30699920654297
2022-05-16,EUR,INR,80.57499694824219
2022-05-17,EUR,INR,81.14099884033203
2022-05-18,EUR,INR,81.63800048828125
2022-05-19,EUR,INR,81.4209976196289
2022-05-20,EUR,INR,81.83300018310547
2022-05-23,EUR,INR,82.16300201416016
2022-05-24,EUR,INR,82.75299835205078
2022-05-25,EUR,INR,83.08599853515625
2022-05-26,EUR,INR,82.73400115966797
2022-05-27,EUR,INR,83.24400329589844
2022-05-30,EUR,INR,83.24800109863281
2022-05-31,EUR,INR,83.4729995727539
2022-06-01,EUR,INR,83.22899627685547
2022-06-02,EUR,INR,82.52899932861328
2022-06-03,EUR,INR,83.10800170898438
2022-06-06,EUR,INR,83.11299896240234
2022-06-07,EUR,INR,83.11799621582031
2022-06-08,EUR,INR,82.99299621582031
2022-06-09,EUR,INR,83.20899963378906
2022-06-10,EUR,INR,82.552001953125
2022-06-13,EUR,INR,82.11499786376953
2022-06-14,EUR,INR,81.26499938964844
2022-06-15,EUR,INR,81.35900115966797
2022-06-16,EUR,INR,81.65599822998047
2022-06-17,EUR,INR,82.15399932861328
2022-06-20,EUR,INR,81.09809875488281
2022-06-21,EUR,INR,81.90399932861328
2022-06-22,EUR,INR,82.21600341796875
2022-06-23,EUR,INR,82.50199890136719
2022-06-24,EUR,INR,82.12899780273438
2022-06-27,EUR,INR,82.51699829101562
2022-06-28,EUR,INR,82.91699981689453
2022-06-29,EUR,INR,83.0459976196289
2022-06-30,EUR,INR,82.38600158691406
2022-07-01,EUR,INR,82.6500015258789
2022-07-04,EUR,INR,82.24700164794922
2022-07-05,EUR,INR,82.2770004272461
2022-07-06,EUR,INR,81.25700378417969
2022-07-07,EUR,INR,80.4219970703125
2022-07-08,EUR,INR,80.4209976196289
2022-07-11,EUR,INR,80.6780014038086
2022-07-12,EUR,INR,79.72799682617188
2022-07-13,EUR,INR,79.63099670410156
2022-07-14,EUR,INR,79.86299896240234
2022-07-15,EUR,INR,80.03500366210938
2022-07-18,EUR,INR,80.4020004272461
2022-07-19,EUR,INR,81.09500122070312
2022-07-20,EUR,INR,81.62999725341797
2022-07-21,EUR,INR,81.39299774169922
2022-07-22,EUR,INR,81.55999755859375
2022-07-25,EUR,INR,81.45800018310547
2022-07-26,EUR,INR,81.41600036621094
2022-07-27,EUR,INR,80.81199645996094
2022-07-28,EUR,INR,81.42500305175781
2022-07-29,EUR,INR,81.09400177001953
2022-08-01,EUR,INR,81.0719985961914
2022-08-02,EUR,INR,80.96099853515625
2022-08-03,EUR,INR,79.74299621582031
2022-08-04,EUR,INR,80.27999877929688
2022-08-05,EUR,INR,81.03800201416016
2022-08-08,EUR,INR,80.72599792480469
2022-08-09,EUR,INR,81.08000183105469
2022-08-10,EUR,INR,81.14399719238281
2022-08-11,EUR,INR,81.38300323486328
2022-08-12,EUR,INR,82.08599853515625
2022-08-15,EUR,INR,81.63300323486328
2022-08-16,EUR,INR,80.75800323486328
2022-08-17,EUR,INR,80.53099822998047
2022-08-18,EUR,INR,80.68499755859375
2022-08-19,EUR,INR,80.40499877929688
2022-08-22,EUR,INR,80.15399932861328
2022-08-23,EUR,INR,79.28800201416016
2022-08-24,EUR,INR,79.51399993896484
2022-08-25,EUR,INR,79.46199798583984
2022-08-26,EUR,INR,79.56400299072266
2022-08-29,EUR,INR,79.59500122070312
2022-08-30,EUR,INR,79.97599792480469
2022-08-31,EUR,INR,79.802001953125
2022-09-01,EUR,INR,79.78299713134766
2022-09-02,EUR,INR,79.25900268554688
2022-09-05,EUR,INR,79.29199981689453
2022-09-06,EUR,INR,79.31199645996094
2022-09-07,EUR,INR,79.0
2022-09-08,EUR,INR,79.53800201416016
2022-09-09,EUR,INR,79.69400024414062
2022-09-12,EUR,INR,79.96800231933594
2022-09-13,EUR,INR,80.29900360107422
2022-09-14,EUR,INR,79.36299896240234
2022-09-15,EUR,INR,79.23600006103516
2022-09-16,EUR,INR,79.677001953125
2022-09-19,EUR,INR,79.74600219726562
2022-09-20,EUR,INR,79.85600280761719
2022-09-21,EUR,INR,79.44400024414062
2022-09-22,EUR,INR,78.49700164794922
2022-09-23,EUR,INR,79.677001953125
2022-09-26,EUR,INR,78.66400146484375
2022-09-27,EUR,INR,78.56600189208984
2022-09-28,EUR,INR,78.34200286865234
2022-09-29,EUR,INR,78.9729995727539
2022-09-30,EUR,INR,80.0479965209961
2022-10-03,EUR,INR,79.81999969482422
2022-10-04,EUR,INR,80.0459976196289
2022-10-05,EUR,INR,81.26399993896484
2022-10-06,EUR,INR,80.84200286865234
2022-10-07,EUR,INR,80.53800201416016
2022-10-10,EUR,INR,80.6240005493164
2022-10-11,EUR,INR,79.95099639892578
2022-10-12,EUR,INR,79.7249984741211
2022-10-13,EUR,INR,79.71199798583984
2022-10-14,EUR,INR,80.2300033569336
2022-10-17,EUR,INR,80.02999877929688
2022-10-18,EUR,INR,80.8219985961914
2022-10-19,EUR,INR,81.09100341796875
2022-10-20,EUR,INR,80.99800109863281
2022-10-21,EUR,INR,80.91000366210938
2022-10-24,EUR,INR,81.32099914550781
2022-10-25,EUR,INR,81.74199676513672
2022-10-26,EUR,INR,82.05999755859375
2022-10-27,EUR,INR,82.60199737548828
2022-10-28,EUR,INR,82.05699920654297
2022-10-31,EUR,INR,81.91000366210938
2022-11-01,EUR,INR,81.75599670410156
2022-11-02,EUR,INR,81.5719985961914
2022-11-03,EUR,INR,81.12100219726562
2022-11-04,EUR,INR,80.5270004272461
2022-11-07,EUR,INR,81.59100341796875
2022-11-08,EUR,INR,81.89900207519531
2022-11-09,EUR,INR,81.95099639892578
2022-11-10,EUR,INR,81.4209976196289
2022-11-11,EUR,INR,82.10800170898438
2022-11-14,EUR,INR,82.39900207519531
2022-11-15,EUR,INR,83.48799896240234
2022-11-16,EUR,INR,83.91400146484375
2022-11-17,EUR,INR,84.6259994506836
2022-11-18,EUR,INR,84.39600372314453
2022-11-21,EUR,INR,84.21499633789062
2022-11-22,EUR,INR,83.6500015258789
2022-11-23,EUR,INR,84.18099975585938
2022-11-24,EUR,INR,84.9489974975586
2022-11-25,EUR,INR,84.89299774169922
2022-11-28,EUR,INR,84.89299774169922
2022-11-29,EUR,INR,84.37100219726562
2022-11-30,EUR,INR,84.19100189208984
2022-12-01,EUR,INR,84.73600006103516
2022-12-02,EUR,INR,85.37100219726562
2022-12-05,EUR,INR,85.75499725341797
2022-12-06,EUR,INR,85.88600158691406
2022-12-07,EUR,INR,86.26200103759766
2022-12-08,EUR,INR,86.35399627685547
2022-12-09,EUR,INR,86.79399871826172
2022-12-12,EUR,INR,86.73899841308594
2022-12-13,EUR,INR,87.03800201416016
2022-12-14,EUR,INR,87.48899841308594
2022-12-15,EUR,INR,87.99199676513672
2022-12-16,EUR,INR,87.9520034790039
2022-12-19,EUR,INR,87.43900299072266
2022-12-20,EUR,INR,87.55599975585938
2022-12-21,EUR,INR,87.69300079345703
2022-12-22,EUR,INR,87.84400177001953
2022-12-23,EUR,INR,87.7760009765625
2022-12-26,EUR,INR,87.802001953125
2022-12-27,EUR,INR,86.91010284423828
2022-12-28,EUR,INR,88.03199768066406
2022-12-29,EUR,INR,87.77400207519531
2022-12-30,EUR,INR,88.22100067138672
2023-01-02,EUR,INR,88.48200225830078
2023-01-03,EUR,INR,88.30000305175781
2023-01-04,EUR,INR,87.21900177001953
2023-01-05,EUR,INR,87.6050033569336
2023-01-06,EUR,INR,86.8270034790039
2023-01-09,EUR,INR,87.5009994506836
2023-01-10,EUR,INR,88.1240005493164
2023-01-11,EUR,INR,87.58200073242188
2023-01-12,EUR,INR,87.80500030517578
2023-01-13,EUR,INR,88.01100158691406
2023-01-16,EUR,INR,87.9520034790039
2023-01-17,EUR,INR,88.35299682617188
2023-01-18,EUR,INR,88.00399780273438
2023-01-19,EUR,INR,87.86399841308594
2023-01-20,EUR,INR,87.93699645996094
2023-01-23,EUR,INR,87.86199951171875
2023-01-24,EUR,INR,88.54100036621094
2023-01-25,EUR,INR,88.76799774169922
2023-01-26,EUR,INR,88.95500183105469
2023-01-27,EUR,INR,88.64199829101562
2023-01-30,EUR,INR,88.51899719238281
2023-01-31,EUR,INR,88.375
2023-02-01,EUR,INR,88.73600006103516
2023-02-02,EUR,INR,89.9469985961914
2023-02-03,EUR,INR,89.39099884033203
2023-02-06,EUR,INR,88.69000244140625
2023-02-07,EUR,INR,88.7040023803711
2023-02-08,EUR,INR,88.83100128173828
2023-02-09,EUR,INR,88.49800109863281
2023-02-10,EUR,INR,88.56300354003906
2023-02-13,EUR,INR,88.0260009765625
2023-02-14,EUR,INR,88.5469970703125
2023-02-15,EUR,INR,88.92900085449219
2023-02-16,EUR,INR,88.40399932861328
2023-02-17,EUR,INR,88.13200378417969
2023-02-20,EUR,INR,88.43299865722656
2023-02-21,EUR,INR,88.25700378417969
2023-02-22,EUR,INR,88.18499755859375
2023-02-23,EUR,INR,87.7750015258789
2023-02-24,EUR,INR,87.48600006103516
2023-02-27,EUR,INR,87.37000274658203
2023-02-28,EUR,INR,87.60600280761719
2023-03-01,EUR,INR,87.34100341796875
2023-03-02,EUR,INR,87.85399627685547
2023-03-03,EUR,INR,87.21600341796875
2023-03-06,EUR,INR,86.81600189208984
2023-03-07,EUR,INR,87.3479995727539
2023-03-08,EUR,INR,86.44000244140625
2023-03-09,EUR,INR,86.38300323486328
2023-03-10,EUR,INR,86.73500061035156
2023-03-13,EUR,INR,87.1259994506836
2023-03-14,EUR,INR,88.13800048828125
2023-03-15,EUR,INR,88.16899871826172
2023-03-16,EUR,INR,87.66500091552734
2023-03-17,EUR,INR,87.61599731445312
2023-03-20,EUR,INR,87.94200134277344
2023-03-21,EUR,INR,88.36799621582031
2023-03-22,EUR,INR,88.99600219726562
2023-03-23,EUR,INR,89.625
2023-03-24,EUR,INR,89.0459976196289
2023-03-27,EUR,INR,88.5260009765625
2023-03-28,EUR,INR,88.75399780273438
2023-03-29,EUR,INR,88.98200225830078
2023-03-30,EUR,INR,89.05500030517578
2023-03-31,EUR,INR,89.44200134277344
2023-04-03,EUR,INR,89.0260009765625
2023-04-04,EUR,INR,89.59700012207031
2023-04-05,EUR,INR,89.89600372314453
2023-04-06,EUR,INR,89.27799987792969
2023-04-07,EUR,INR,89.30500030517578
2023-04-10,EUR,INR,89.30599975585938
2023-04-11,EUR,INR,88.31700134277344
2023-04-12,EUR,INR,89.51599884033203
2023-04-13,EUR,INR,90.05999755859375
2023-04-14,EUR,INR,90.18699645996094
2023-04-17,EUR,INR,89.90799713134766
2023-04-18,EUR,INR,89.51100158691406
2023-04-19,EUR,INR,90.02999877929688
2023-04-20,EUR,INR,90.0979995727539
2023-04-21,EUR,INR,90.01100158691406
2023-04-24,EUR,INR,90.08999633789062
2023-04-25,EUR,INR,90.5199966430664
2023-04-26,EUR,INR,89.93699645996094
2023-04-27,EUR,INR,90.22799682617188
2023-04-28,EUR,INR,90.11900329589844
2023-05-01,EUR,INR,89.97699737548828
2023-05-02,EUR,INR,88.85299682617188
2023-05-03,EUR,INR,89.9489974975586
2023-05-04,EUR,INR,90.4540023803711
2023-05-05,EUR,INR,89.99600219726562
2023-05-08,EUR,INR,89.97200012207031
2023-05-09,EUR,INR,89.84500122070312
2023-05-10,EUR,INR,89.94000244140625
2023-05-11,EUR,INR,89.90399932861328
2023-05-12,EUR,INR,89.51300048828125
2023-05-15,EUR,INR,89.0979995727539
2023-05-16,EUR,INR,89.36799621582031
2023-05-17,EUR,INR,89.33000183105469
2023-05-18,EUR,INR,89.27899932861328
2023-05-19,EUR,INR,89.05599975585938
2023-05-22,EUR,INR,89.49800109863281
2023-05-23,EUR,INR,89.4469985961914
2023-05-24,EUR,INR,89.125
2023-05-25,EUR,INR,88.83799743652344
2023-05-26,EUR,INR,88.6510009765625
2023-05-29,EUR,INR,87.76010131835938
2023-05-30,EUR,INR,88.3740005493164
2023-05-31,EUR,INR,88.66600036621094
2023-06-01,EUR,INR,88.322998046875
2023-06-02,EUR,INR,88.44999694824219
